objectID,accessionNumber,additionalImages,artistAlphaSort,artistBeginDate,artistDisplayBio,artistDisplayName,artistEndDate,artistNationality,artistPrefix,artistRole,artistSuffix,city,classification,constituents,country,county,creditLine,culture,department,dimensions,dynasty,excavation,geographyType,isHighlight,isPublicDomain,linkResource,locale,locus,medium,metadataDate,objectBeginDate,objectDate,objectEndDate,objectName,objectURL,period,portfolio,primaryImage,primaryImageSmall,region,reign,repository,rightsAndReproduction,river,state,subregion,tags,title
11,1979.486.2,[],"Gobrecht, Christian",1785,1785–1844,Christian Gobrecht,1844,,,Maker,,,Metal,"[{'role': 'Maker', 'name': 'Christian Gobrecht'}]",,,"Gift of Heinz L. Stoppelmann, 1979",,The American Wing,Dimensions unavailable,,,,FALSE,FALSE,,,,Gold,2019-04-06T04:54:03.177Z,1907,1907,1907,Coin,https://www.metmuseum.org/art/collection/search/11,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],Two-and-a-half-dollar Liberty Head Coin
12,1979.486.7,[],"Longacre, James Barton",1794,"American, Delaware County, Pennsylvania 1794–1869 Philadelphia, Pennsylvania",James Barton Longacre,1869,American,,Maker,,,Metal,"[{'role': 'Maker', 'name': 'James Barton Longacre'}]",,,"Gift of Heinz L. Stoppelmann, 1979",,The American Wing,Dimensions unavailable,,,,FALSE,FALSE,,,,Gold,2019-04-06T04:54:04.207Z,1876,1876,1876,Coin,https://www.metmuseum.org/art/collection/search/12,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],Twenty-dollar Liberty Head Coin
13,1979.486.4,[],"Pratt, Bela Lyon",1867,1867–1917,Bela Lyon Pratt,1917,,,Maker,,,Metal,"[{'role': 'Maker', 'name': 'Bela Lyon Pratt'}]",,,"Gift of Heinz L. Stoppelmann, 1979",,The American Wing,Dimensions unavailable,,,,FALSE,FALSE,,,,Gold,2019-04-06T04:54:05.347Z,1910,1910,1910,Coin,https://www.metmuseum.org/art/collection/search/13,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],Five-dollar Indian Head Coin
14,1979.486.5,[],"Gobrecht, Christian",1785,1785–1844,Christian Gobrecht,1844,,,Maker,,,Metal,"[{'role': 'Maker', 'name': 'Christian Gobrecht'}]",,,"Gift of Heinz L. Stoppelmann, 1979",,The American Wing,Dimensions unavailable,,,,FALSE,FALSE,,,,Gold,2019-04-06T04:54:06.207Z,1907,1907,1907,Coin,https://www.metmuseum.org/art/collection/search/14,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],Five-dollar Liberty Head Coin
15,16.74.49,[],,,,,,,,,,,Silver,,Mexico,,"Gift of Mrs. Russell Sage, 1916",Mexican,The American Wing,Diam. 1/2 in. (1.3 cm),,,Made in,FALSE,FALSE,,,,Silver,2019-04-06T04:54:07.08Z,1665,1665–1700,1700,Coin,https://www.metmuseum.org/art/collection/search/15,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],"Coin, 1/2 Real"
16,16.74.27,[],"Mexican, Artist",,,Mexican Artist,,,,Artist,,,Metal,"[{'role': 'Artist', 'name': 'Mexican Artist'}]",Mexico,,"Gift of Mrs. Russell Sage, 1916",Mexican,The American Wing,Diam. 1 1/8 in. (2.9 cm),,,Made in,FALSE,FALSE,,,,Bronze or copper,2019-04-06T04:54:08.113Z,1800,1800–1900,1900,Peso,https://www.metmuseum.org/art/collection/search/16,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],"Coin, 1/4 Peso"
17,16.74.28,[],"Mexican, Artist",,,Mexican Artist,,,,Artist,,,Metal,"[{'role': 'Artist', 'name': 'Mexican Artist'}]",Mexico,,"Gift of Mrs. Russell Sage, 1916",Mexican,The American Wing,Diam. 1 1/8 in. (2.9 cm),,,Made in,FALSE,FALSE,,,,Bronze or copper,2019-04-06T04:54:09.253Z,1867,1867,1867,Peso,https://www.metmuseum.org/art/collection/search/17,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],"Coin, 1/4 Peso"
18,16.74.29,[],"Mexican, Artist",,,Mexican Artist,,,,Artist,,,Metal,"[{'role': 'Artist', 'name': 'Mexican Artist'}]",Mexico,,"Gift of Mrs. Russell Sage, 1916",Mexican,The American Wing,Diam. 1 1/8 in. (2.9 cm),,,Made in,FALSE,FALSE,,,,Bronze or copper,2019-04-06T04:54:10.177Z,1860,1860,1860,Peso,https://www.metmuseum.org/art/collection/search/18,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],"Coin, 1/4 Peso"
19,16.74.30,[],,,,,,,,,,,Metal,,Mexico,,"Gift of Mrs. Russell Sage, 1916",Mexican,The American Wing,Diam. 1 1/8 in. (2.9 cm),,,Made in,FALSE,FALSE,,,,Bronze or copper,2019-04-06T04:54:11.143Z,1859,1859,1859,Peso,https://www.metmuseum.org/art/collection/search/19,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],"Coin, 1/4 Peso"
20,16.74.31,[],,,,,,,,,,,Metal,,Mexico,,"Gift of Mrs. Russell Sage, 1916",Mexican,The American Wing,Diam. 1 1/8 in. (2.9 cm),,,Made in,FALSE,FALSE,,,,Bronze or copper,2019-04-06T04:54:12.223Z,1860,1860,1860,Peso,https://www.metmuseum.org/art/collection/search/20,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],"Coin, 1/4 Peso"
21,16.74.32,[],,,,,,,,,,,Metal,,Mexico,,"Gift of Mrs. Russell Sage, 1916",Mexican,The American Wing,Diam. 1 1/8 in. (2.9 cm),,,Made in,FALSE,FALSE,,,,Bronze or copper,2019-04-06T04:54:13.283Z,1859,1859,1859,Peso,https://www.metmuseum.org/art/collection/search/21,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],"Coin, 1/4 Peso"
22,16.74.43,[],,,,,,,,,,,Silver,,Guatemala,,"Gift of Mrs. Russell Sage, 1916",Guatemalan,The American Wing,Diam. 1/2 in. (1.3 cm),,,Made in,FALSE,FALSE,,,,Silver,2019-04-06T04:54:14.52Z,1881,1881,1881,Coin,https://www.metmuseum.org/art/collection/search/22,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],"Coin, 1/4 Real"
23,16.74.44,[],,,,,,,,,,,Silver,,Guatemala,,"Gift of Mrs. Russell Sage, 1916",Guatemalan,The American Wing,Diam. 1/2 in. (1.3 cm),,,Made in,FALSE,FALSE,,,,Silver,2019-04-06T04:54:15.427Z,1878,1878,1878,Coin,https://www.metmuseum.org/art/collection/search/23,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],"Coin, 1/4 Real"
24,16.74.33,[],,,,,,,,,,,Metal,,Mexico,,"Gift of Mrs. Russell Sage, 1916",Mexican,The American Wing,Diam. 3/4 in. (1.9 cm),,,Made in,FALSE,FALSE,,,,Nickel,2019-04-06T04:54:16.44Z,1860,1860–70,1870,Centavos,https://www.metmuseum.org/art/collection/search/24,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],"Coin, 10 Centavos"
25,16.74.34,[],,,,,,,,,,,Metal,,Mexico,,"Gift of Mrs. Russell Sage, 1916",Mexican,The American Wing,Diam. 3/4 in. (1.9 cm),,,Made in,FALSE,FALSE,,,,Nickel,2019-04-06T04:54:17.457Z,1860,1860–70,1870,Centavos,https://www.metmuseum.org/art/collection/search/25,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],"Coin, 10 Centavos"
26,16.74.35,[],,,,,,,,,,,Metal,,Mexico,,"Gift of Mrs. Russell Sage, 1916",Mexican,The American Wing,Diam. 3/4 in. (1.9 cm),,,Made in,FALSE,FALSE,,,,Nickel,2019-04-06T04:54:18.473Z,1860,1860–70,1870,Centavos,https://www.metmuseum.org/art/collection/search/26,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],"Coin, 10 Centavos"
27,16.74.36,[],,,,,,,,,,,Metal,,Mexico,,"Gift of Mrs. Russell Sage, 1916",Mexican,The American Wing,Diam. 3/4 in. (1.9 cm),,,Made in,FALSE,FALSE,,,,Nickel,2019-04-06T04:54:19.597Z,1860,1860–70,1870,Centavos,https://www.metmuseum.org/art/collection/search/27,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],"Coin, 10 Centavos"
28,16.74.38,[],,,,,,,,,,,Metal,,Mexico,,"Gift of Mrs. Russell Sage, 1916",Mexican,The American Wing,Diam. 3/4 in. (1.9 cm),,,Made in,FALSE,FALSE,,,,Nickel,2019-04-06T04:54:20.52Z,1860,1860–70,1870,Centavos,https://www.metmuseum.org/art/collection/search/28,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],"Coin, 10 Centavos"
29,16.74.39,[],,,,,,,,,,,Metal,,Mexico,,"Gift of Mrs. Russell Sage, 1916",Mexican,The American Wing,Diam. 3/4 in. (1.9 cm),,,Made in,FALSE,FALSE,,,,Nickel,2019-04-06T04:54:21.58Z,1860,1860–70,1870,Centavos,https://www.metmuseum.org/art/collection/search/29,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],"Coin, 10 Centavos"
30,16.74.37,[],,,,,,,,,,,Metal,,Mexico,,"Gift of Mrs. Russell Sage, 1916",Mexican,The American Wing,Diam. 3/4 in. (1.9 cm),,,Made in,FALSE,FALSE,,,,Nickel,2019-04-06T04:54:22.613Z,1885,1885,1885,Centavos,https://www.metmuseum.org/art/collection/search/30,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],"Coin, 10 Centavos"
31,16.74.40,[],,,,,,,,,,,Metal,,Mexico,,"Gift of Mrs. Russell Sage, 1916",Mexican,The American Wing,Diam. 3/4 in. (1.9 cm),,,Made in,FALSE,FALSE,,,,Nickel,2019-04-06T04:54:23.52Z,1885,1885,1885,Centavos,https://www.metmuseum.org/art/collection/search/31,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],"Coin, 10 Centavos"
32,09.9.15,[],"Mexican, Artist",,,Mexican Artist,,,,Artist,,,Metal,"[{'role': 'Artist', 'name': 'Mexican Artist'}]",Mexico,,"Gift of H. R. Ickelheimer, 1909",Mexican,The American Wing,Diam. 2 1/8 in. (5.4 cm),,,Made in,FALSE,FALSE,,,,Gold,2019-04-06T04:54:24.457Z,1866,1866,1866,Pesos,https://www.metmuseum.org/art/collection/search/32,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],"Coin, 20 Pesos"
33,64.62,[],"Gillinder and Sons, James",1861,"American, 1861–ca. 1930",James Gillinder and Sons,1930,American,,Maker,,Philadelphia,Glass,"[{'role': 'Maker', 'name': 'James Gillinder and Sons'}]",United States,,"Gift of Teunis G. B. Cortelyou, 1964",American,The American Wing,2 3/4 x 3 1/2 x 2 3/4 in. (7 x 8.9 x 7 cm),,,Made in,FALSE,FALSE,,,,Pressed glass,2019-04-06T04:54:25.44Z,1876,1876,1876,Bust,https://www.metmuseum.org/art/collection/search/33,,,,,Mid-Atlantic,,"Metropolitan Museum of Art, New York, NY",,,Pennsylvania,,"['Sculpture', 'Abraham Lincoln', 'Portraits']",Bust of Abraham Lincoln
34,1970.289.6,[],Forestville Manufacturing Company,1835,1835–1853,Forestville Manufacturing Company,1853,,,Maker,,Bristol,Furniture,"[{'role': 'Maker', 'name': 'Forestville Manufacturing Company'}]",United States,,"Gift of Mrs. Paul Moore, 1970",American,The American Wing,24 3/8 x 14 5/8 x 5 1/8 in. (61.9 x 37.1 x 13 cm),,,Made in,FALSE,TRUE,,,,"Mahogany, laminated",2019-04-06T04:54:26.537Z,1847,1847–50,1850,Clock,https://www.metmuseum.org/art/collection/search/34,,,https://images.metmuseum.org/CRDImages/ad/original/204788.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/204788.jpg,New England,,"Metropolitan Museum of Art, New York, NY",,,Connecticut,,"['Landscapes', 'Trees', 'Boats', 'Clocks']",Acorn Clock
35,04.1a–c,[],"Farnham, Paulding",1859,1859–1927,Paulding Farnham,1927,,Designed by,Designer,,New York,Metal,"[{'role': 'Designer', 'name': 'Designed by Paulding Farnham'}, {'role': 'Manufacturer', 'name': 'Manufactured by Tiffany &amp; Co.'}]",United States,,"Gift of Edward D. Adams, 1904",American,The American Wing,"Overall: 19 7/16 x 13 x 9 1/4 in. (49.4 x 33 x 23.5 cm); 352 oz. 18 dwt. (10977 g)
Body: H. 18 7/8 in. (47.9 cm)
Cover: 4 1/4 x 4 13/16 in. (10.8 x 12.2 cm); 19 oz. 6 dwt. (600.1 g)",,,Made in,FALSE,FALSE,,,,"Gold, amethysts, spessartites, tourmalines, fresh water pearls, quartzes, rock crystal, and enamel",2019-04-06T04:54:27.677Z,1893,1893–95,1895,Vase,https://www.metmuseum.org/art/collection/search/35,,,,,Mid-Atlantic,,"Metropolitan Museum of Art, New York, NY",,,New York,,"['Birds', 'Palmettes', 'Men', 'Vases']",The Adams Vase
36,1976.319,[],"Henninger, Conrad",1885,active ca. 1888–1932,Conrad Henninger,1932,,,Maker,,Lebanon,Furniture,"[{'role': 'Maker', 'name': 'Conrad Henninger'}]",United States,,"Gift of Charlotte Pickman-Gertz, 1976",American,The American Wing,40 x 25 1/2 x 34 1/2 in. (101.6 x 64.8 x 87.6 cm),,,Made in,FALSE,FALSE,,,,"Oak, tulip poplar",2019-04-06T04:54:28.99Z,1884,ca. 1887,1887,Side Chair,https://www.metmuseum.org/art/collection/search/36,,,,,Mid-Atlantic,,"Metropolitan Museum of Art, New York, NY",,,Pennsylvania,,['Chairs'],Side Chair
37,38.165.51,"['https://images.metmuseum.org/CRDImages/ad/original/DP247756.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/117430.jpg']","Stephan, Pierre",1765,"French, active ca. 1770–95",Pierre Stephan,1795,French,,Maker,,,Ceramics,"[{'role': 'Maker', 'name': 'Pierre Stephan'}]",England,Staffordshire,"Harris Brisbane Dick Fund, 1938",British (American market),The American Wing,H. 12 in. (30.5 cm),,,Made in,FALSE,TRUE,,,,"Earthenware, basalt",2019-04-06T04:54:30.317Z,1782,ca. 1785,1785,Figure,https://www.metmuseum.org/art/collection/search/37,,,https://images.metmuseum.org/CRDImages/ad/original/DP247752.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP247752.jpg,West Midlands,,"Metropolitan Museum of Art, New York, NY",,,,,"['Cannons', 'Swords', 'Men']",Figure of Admiral George Rodney
38,38.165.50,['https://images.metmuseum.org/CRDImages/ad/original/DP247755.jpg'],"Stephan, Pierre",1765,"French, active ca. 1770–95",Pierre Stephan,1795,French,,Maker,,,Ceramics,"[{'role': 'Maker', 'name': 'Pierre Stephan'}]",England,Staffordshire,"Harris Brisbane Dick Fund, 1938",British (American market),The American Wing,H. 12 3/8 in. (31.4 cm),,,Made in,FALSE,TRUE,,,,"Earthenware, basalt",2019-04-06T04:54:31.77Z,1782,ca. 1785,1785,Figure,https://www.metmuseum.org/art/collection/search/38,,,https://images.metmuseum.org/CRDImages/ad/original/DP247753.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP247753.jpg,West Midlands,,"Metropolitan Museum of Art, New York, NY",,,,,"['Cannons', 'Swords', 'Men', 'Admirals']",Figure of Admiral Samuel Hood
39,18.11.10,[],,,,,,,,,,Norwich,Natural Substances,,United States,,"Rogers Fund, 1918",American,The American Wing,11 x 9 in. (27.9 x 22.9 cm),,,Made in,FALSE,TRUE,,,,Paper,2019-04-06T04:54:32.83Z,1770,1770–1800,1800,Advertisement,https://www.metmuseum.org/art/collection/search/39,,,https://images.metmuseum.org/CRDImages/ad/original/37808.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/37808.jpg,New England,,"Metropolitan Museum of Art, New York, NY",,,Connecticut,,['Advertisements'],Advertisement for Norwich Stone Ware Factory
40,46.140.143,[],New England Glass Company,1818,"American, East Cambridge, Massachusetts, 1818–1888",New England Glass Company,1888,,,Maker,,East Cambridge,Glass,"[{'role': 'Maker', 'name': 'New England Glass Company'}]",United States,,"Gift of Mrs. Emily Winthrop Miles, 1946",American,The American Wing,H. 6 9/16 in. (16.7 cm); Diam. 3 in. (7.6 cm),,,Made in,FALSE,TRUE,,,,Pressed glass,2019-04-06T04:54:33.787Z,1830,1830–70,1870,Ale glass,https://www.metmuseum.org/art/collection/search/40,,,https://images.metmuseum.org/CRDImages/ad/original/174118.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/174118.jpg,New England,,"Metropolitan Museum of Art, New York, NY",,,Massachusetts,,['Drinking Glasses'],Ale Glass
41,46.140.864,[],Union Glass Company,,"American, Somerville, Massachusetts",Union Glass Company,,American,,Maker,,Somerville,Glass,"[{'role': 'Maker', 'name': 'Union Glass Company'}]",United States,,"Gift of Mrs. Emily Winthrop Miles, 1946",American,The American Wing,H. 6 1/4 in. (15.9 cm); Diam. 2 15/16 in. (7.5 cm),,,Made in,FALSE,TRUE,,,,Pressed glass,2019-04-06T04:54:34.893Z,1850,1850–70,1870,Ale glass,https://www.metmuseum.org/art/collection/search/41,,,https://images.metmuseum.org/CRDImages/ad/original/187154.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/187154.jpg,New England,,"Metropolitan Museum of Art, New York, NY",,,Massachusetts,,['Drinking Glasses'],Ale Glass
42,60.58.1,['https://images.metmuseum.org/CRDImages/ad/original/172133.jpg'],,,,,,,,,,New York,Metal,,United States,,"Sansbury-Mills Fund, 1960",American,The American Wing,30 7/8 x 25 x 13 7/8 in. (78.4 x 63.5 x 35.2 cm),,,Made in,FALSE,TRUE,,,,"Brass, iron",2019-04-06T04:54:35.893Z,1795,1795–1810,1810,Andiron,https://www.metmuseum.org/art/collection/search/42,,,https://images.metmuseum.org/CRDImages/ad/original/172134.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/172134.jpg,Mid-Atlantic,,"Metropolitan Museum of Art, New York, NY",,,New York,,['Utilitarian Objects'],Andiron
43,60.58.2,['https://images.metmuseum.org/CRDImages/ad/original/172133.jpg'],,,,,,,,,,New York,Metal,,United States,,"Sansbury-Mills Fund, 1960",American,The American Wing,30 7/8 x 25 x 13 7/8 in. (78.4 x 63.5 x 35.2 cm),,,Made in,FALSE,TRUE,,,,"Brass, iron",2019-04-06T04:54:36.99Z,1795,1795–1810,1810,Andiron,https://www.metmuseum.org/art/collection/search/43,,,https://images.metmuseum.org/CRDImages/ad/original/172134.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/172134.jpg,Mid-Atlantic,,"Metropolitan Museum of Art, New York, NY",,,New York,,['Utilitarian Objects'],Andiron
44,10.125.444a,[],,,,,,,,,,,Metal,,,,"Gift of Mrs. Russell Sage, 1909",,The American Wing,H. 27 in. (68.6 cm),,,,FALSE,TRUE,,,,Brass,2019-04-06T04:54:38.143Z,1787,ca. 1790,1790,Andiron,https://www.metmuseum.org/art/collection/search/44,,,https://images.metmuseum.org/CRDImages/ad/original/17342.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/17342.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,['Utilitarian Objects'],Andiron
45,10.125.444b,[],,,,,,,,,,,Metal,,,,"Gift of Mrs. Russell Sage, 1909",,The American Wing,H. 27 in. (68.6 cm),,,,FALSE,TRUE,,,,Brass,2019-04-06T04:54:39.16Z,1787,ca. 1790,1790,Andiron,https://www.metmuseum.org/art/collection/search/45,,,https://images.metmuseum.org/CRDImages/ad/original/17342.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/17342.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,['Utilitarian Objects'],Andiron
46,10.125.445a,[],,,,,,,,,,,Metal,,,,"Gift of Mrs. Russell Sage, 1909",,The American Wing,H. 16 in. (40.6 cm),,,,FALSE,TRUE,,,,Brass,2019-04-06T04:54:40.207Z,1700,1700–1800,1800,Andiron,https://www.metmuseum.org/art/collection/search/46,,,https://images.metmuseum.org/CRDImages/ad/original/12875.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/12875.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,[],Andiron
47,10.125.445b,[],,,,,,,,,,,Metal,,,,"Gift of Mrs. Russell Sage, 1909",,The American Wing,H. 16 in. (40.6 cm),,,,FALSE,TRUE,,,,Brass,2019-04-06T04:54:41.05Z,1700,1700–1800,1800,Andiron,https://www.metmuseum.org/art/collection/search/47,,,https://images.metmuseum.org/CRDImages/ad/original/12875.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/12875.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,[],Andiron
48,10.125.446a,[],,,,,,,,,,,Metal,,,,"Gift of Mrs. Russell Sage, 1909",,The American Wing,H. 17 in. (43.2 cm),,,,FALSE,FALSE,,,,Iron,2019-04-06T04:54:41.91Z,1770,1770–1800,1800,Andiron,https://www.metmuseum.org/art/collection/search/48,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],Andiron
49,10.125.446b,[],,,,,,,,,,,Metal,,,,"Gift of Mrs. Russell Sage, 1909",,The American Wing,H. 17 in. (43.2 cm),,,,FALSE,FALSE,,,,Iron,2019-04-06T04:54:43.097Z,1770,1770–1800,1800,Andiron,https://www.metmuseum.org/art/collection/search/49,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],Andiron
50,10.125.447a,['https://images.metmuseum.org/CRDImages/ad/original/12874.jpg'],,,,,,,,,,,Metal,,,,"Gift of Mrs. Russell Sage, 1909",,The American Wing,H. 11 1/2 in. (29.2 cm),,,,FALSE,TRUE,,,,Iron,2019-04-06T04:54:44.13Z,1770,1770–1800,1800,Andiron,https://www.metmuseum.org/art/collection/search/50,,,https://images.metmuseum.org/CRDImages/ad/original/130480.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/130480.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"['Utilitarian Objects', 'Men']",Andiron
51,10.125.447b,['https://images.metmuseum.org/CRDImages/ad/original/12874.jpg'],,,,,,,,,,,Metal,,,,"Gift of Mrs. Russell Sage, 1909",,The American Wing,H. 11 1/2 in. (29.2 cm),,,,FALSE,TRUE,,,,Iron,2019-04-06T04:54:45.347Z,1770,1770–1800,1800,Andiron,https://www.metmuseum.org/art/collection/search/51,,,https://images.metmuseum.org/CRDImages/ad/original/130480.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/130480.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"['Utilitarian Objects', 'Men']",Andiron
52,10.125.452a,[],,,,,,,,,,,Metal,,,,"Gift of Mrs. Russell Sage, 1909",,The American Wing,H. 16 1/2 in. (41.9 cm),,,,FALSE,TRUE,,,,Bell metal,2019-04-06T04:54:46.333Z,1700,1700–1800,1800,Andiron,https://www.metmuseum.org/art/collection/search/52,,,https://images.metmuseum.org/CRDImages/ad/original/12875.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/12875.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,[],Andiron
